WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.39180630156747 -34.597219048804185,-58.393191335992043 -34.597232029175238);8372;1062;ALVEAR, MARCELO T. De;1702;1800;1701;1799;CHARCAS;CALLE;127.06;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.429770827470776 -34.596593766005071,-58.430216979645529 -34.596879882603083,-58.430836063268217 -34.597277314753413);8382;1057;ALVAREZ, JULIAN;902;1000;901;999;ALVAREZ;CALLE;123.69;;JULIAN ALVAREZ;DECRECIENTE;;;;;;
LINESTRING (-58.393191335992043 -34.597232029175238,-58.394632307429234 -34.597266011765505,-58.394765929066999 -34.597269677915712);8384;1062;ALVEAR, MARCELO T. De;1802;1900;1801;1899;CHARCAS;CALLE;144.50;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.396099767822683 -34.597298372019722,-58.396254517289805 -34.597293667464626,-58.397397054424026 -34.59724005680394,-58.397551388497774 -34.597221758308208);8391;1062;ALVEAR, MARCELO T. De;2002;2100;2001;2099;CHARCAS;CALLE;133.48;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.394765929066999 -34.597269677915712,-58.395967928469801 -34.597302314231719,-58.396099767822683 -34.597298372019722);8392;1062;ALVEAR, MARCELO T. De;1902;2000;1901;1999;CHARCAS;CALLE;122.42;;MARCELO T.DE ALVEAR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.451252523074373 -34.597351644976385,-58.450194287416622 -34.596571088267318);8395;8036;HUMBOLDT;102;200;101;199;;CALLE;130.08;;HUMBOLDT;CRECIENTE;1;Bicisendas;;;;Bicisenda
LINESTRING (-58.452044142803707 -34.596640280593334,-58.451252523074373 -34.597351644976385);8396;13043;MARTINEZ ROSAS;1302;1400;1301;1399;;CALLE;107.24;;MARTINEZ ROSAS;DECRECIENTE;;;;;;
LINESTRING (-58.374254002136759 -34.5974252734921,-58.374315291528127 -34.596327810930539,-58.374317598148792 -34.596240626143278);8414;20044;SAN MARTIN;902;1000;901;999;;CALLE;131.55;;SAN MARTIN;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.421514776394261 -34.596431604729275,-58.421777551428157 -34.597734912628006);8463;1008;ACUÑA DE FIGUEROA, FRANCISCO;1202;1300;1201;1299;ALMAGRO;CALLE;146.58;;FRANCISCO ACUÑA DE FIGUEROA;DECRECIENTE;;;;;;
LINESTRING (-58.379900706382259 -34.596513284912547,-58.379894889233036 -34.596625257111356,-58.379834095396333 -34.597726173651928);8466;20123;SUIPACHA;902;1000;901;999;;CALLE;134.69;;SUIPACHA;DECRECIENTE;;;;;;
LINESTRING (-58.434442879441661 -34.597108126257083,-58.433778428742961 -34.597818772752916);8487;12145;LOYOLA;302;400;301;399;;CALLE;99.65;corrección altura 9-1-03;LOYOLA;DECRECIENTE;;;;;;
LINESTRING (-58.414627860244863 -34.597897945649336,-58.414234877107319 -34.596770774802927);8512;2082;BILLINGHURST;1002;1100;1001;1099;;CALLE;130.13;corrección numeración 17-1;BILLINGHURST;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.374227672329496 -34.597920062089521,-58.374248099271014 -34.597530554939659,-58.374254002136759 -34.5974252734921);8522;20044;SAN MARTIN;852;900;851;899;;CALLE;54.94;;SAN MARTIN;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.430836063268217 -34.597277314753413,-58.431913492324064 -34.597968885687173);8531;1057;ALVAREZ, JULIAN;802;900;801;899;ALVAREZ;CALLE;125.12;;JULIAN ALVAREZ;DECRECIENTE;;;;;;
